,aglio sott’olio,amarene sciroppate,arista al sale,bagnet verd o salsa verde piemontese,besciamella con olio extravergine d’oliva,bigoli,biscotti di frolla montata,biscotti di pasta frolla montata,biscotti ovis mollis,biscotti secchi,branzino al cartoccio,branzino al forno,brodo di pollo,brutti ma buoni senza glutine,budino al cioccolato,burger buns,burger buns (panini per hamburger) soffici,burro di arachidi,calamari fritti,caldarroste al forno,camy cream,cappelletti vegani in brodo,cardi gratinati al parmigiano,carne lessa,castagne al microonde,castagne lesse,cavatelli,cavolo nero in padella,cenci toscani al forno,cheesecake fredda,chutney di pere,ciambella al latte caldo,ciambella ricotta e limone,ciambellone allo yogurt,ciambellone all’acqua,cipolle rosse in agrodolce,cipolline al forno,come fare i funghi porcini sottolio in tre mosse,come fare la pasta frolla alla perfezione,come fare la polenta in casa e ottenere la giusta consistenza,come preparare la panna acida,cornetti con lievito madre non rinfrescato,cornetti sfogliati,cosciotto di agnello al forno,cotechino con lenticchie,couscous aromatizzato al tè,crema al burro,crema al mascarpone e panna,crema alla banana,crema di parmigiano,crema diplomatica,crema diplomatica con il bimby,crema pasticcera al cioccolato,croccante di mandorle,crostata di marmellata con il bimby,crostata senza burro,"fettine di maiale in padella, la ricetta per farle morbide",fettuccine fatte in casa,finocchi in padella,focaccia bianca,focaccia patate e rosmarino,"focaccia, la ricetta classica per un risultato morbidissimo",fonduta di parmigiano,frittata,frittata di zucchine,frolla al burro di cocco,frollini salati alle erbe,"frosting al philadelphia, per dei cupcake perfetti","funghi gratinati al forno, la ricetta per un contorno autunnale",funghi sott’olio,funghi trifolati,ganache montata,gelato allo yogurt,gelato oreo,glassa al cioccolato,glassa al limone,gnocchi di patate,grappa all’arancia e cannella,grissini fatti in casa,infusi home made,insalata di patate lesse alle erbe,ketchup fatto in casa,latte di mandorla,lenticchie in umido,lenticchie semplicissime,lievito di birra fatto in casa,limonata rosa,liquore al cedro,liquore all’alloro,maionese,"maionese senza uova, la ricetta per una salsa bianca e ben soda",maltagliati con ceci,marmellata di fichi e noci,marmellata di fragole,marmellata di prugne,mbriachelle,minestra di semolino,minestrone di verdure,mojito analcolico,mousse cioccolato e lamponi,mousse di mascarpone,muffin ricotta e cioccolato,olive in salamoia,pancake di quinoa,pancarrè fatto in casa sofficissimo,pane al pomodoro,pane alle mandorle e rosmarino,pane senza glutine,pane senza lievitazione con olive e rosmarino,panettone semplice con lievito di birra,panini al latte,panini semidolci morbidi,panko fatto in casa,pappardelle,pasta al forno con polpettine e uova sode,pasta all’uovo,pasta d’arance,"pasta fredda al pesto di zucchine, caprino e olive",pasta fresca paglia e fieno,pasta fresca senza uova,pasta frolla con uova sode,"pasta margherita, la ricetta di una torta senza burro, glutine e lievito",pasta olio e parmigiano,pasta sfoglia,patate in padella,patate lesse gustose,peperoni arrosto,pesche sciroppate,pesto di melanzane light,pesto di prezzemolo e mandorle,pici,pizza senza impasto,pizza senza lievitazione,"plumcake al latte, la ricetta base da imparare a memoria",plumcake classico,polpettone farcito,pop corn caramellati,porridge classico,preparato per brownies in barattolo,preparato per vin brûlé,purea di patate senza latte,ragù di soia vegetale,ragù rosso di carne,ravioli asparagi e ricotta,ricetta della pasta frolla classica,riso per sushi,"risotto al tartufo bianco, la ricetta per degustare il fungo più prezioso",sale al vino rosso,sale aromatizzato alle erbe,salsa alla vaniglia,salsa allo yogurt,salsa olandese,"salsa tartara, una maionese arricchita con erbe e sottaceti",salsa tonnata,scaloppine di pollo al limone,schiacciata toscana,sciroppo al cioccolato,sciroppo per la tosse fatto in casa,spaghetti con sugo di pesce,spinaci in padella,spätzle di spinaci con speck e panna,strozzapreti fatti in casa,succo di mela fatto in casa,sugo ai funghi porcini per servire la pasta o la polenta,torta 5 minuti,torta di pane senza uova,torta di pere,torta maddalena,torta margherita con crema pasticcera,torta tutte mele,"torta versata alla marmellata, la ricetta di una torta ripiena facile da fare",tortellini,troccoli,trofie al pesto,uova alla coque,uova fritte,uova in camicia,uova in conserva,uova strapazzate,vellutata zucca e ricotta,verdure grigliate,verza bollita,yogurt al latte di cocco,zabaione,zucca patate e cipolle al forno
crostata senza burro,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.06,0.0,0.0,0.08,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.18,0.3,0.18,0.21,0.16,0.08,0.06,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.08,0.08,0.15,0.08,0.0,0.0,0.12,0.1,0.0,1.0,0.14,0.0,0.05,0.0,0.12,0.0,0.0,0.0,0.12,0.22,0.06,0.0,0.07,0.06,0.0,0.0,0.1,0.0,0.1,0.0,0.19,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.06,0.1,0.0,0.08,0.08,0.0,0.16,0.08,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.08,0.16,0.0,0.0,0.0,0.06,0.04,0.0,0.12,0.08,0.0,0.0,0.0,0.0,0.04,0.24,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.06,0.0,0.0,0.0,0.16,0.36,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.04,0.0,0.1,0.0,0.0,0.06,0.12,0.06,0.0,0.0,0.0,0.06,0.04,0.12,0.0,0.1,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.12,0.11,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.1,0.15,0.0,0.0,0.0,0.1,0.0,0.0
"fettine di maiale in padella, la ricetta per farle morbide",0.08,0.0,0.0,0.07,0.07,0.0,0.06,0.14,0.08,0.14,0.22,0.23,0.0,0.0,0.0,0.07,0.06,0.1,0.2,0.0,0.0,0.04,0.0,0.0,0.0,0.1,0.0,0.09,0.07,0.0,0.0,0.07,0.14,0.07,0.06,0.1,0.18,0.16,0.16,0.0,0.0,0.0,0.11,0.22,0.0,0.06,0.0,0.0,0.0,0.09,0.08,0.07,0.08,0.0,0.07,0.14,1.0,0.14,0.18,0.16,0.16,0.24,0.12,0.09,0.16,0.09,0.07,0.0,0.16,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.18,0.0,0.16,0.06,0.0,0.13,0.14,0.12,0.0,0.0,0.0,0.0,0.1,0.21,0.0,0.0,0.0,0.07,0.06,0.11,0.0,0.0,0.0,0.06,0.0,0.0,0.14,0.16,0.1,0.09,0.23,0.0,0.0,0.07,0.0,0.12,0.05,0.14,0.0,0.0,0.0,0.18,0.07,0.08,0.09,0.2,0.0,0.16,0.16,0.0,0.14,0.08,0.24,0.16,0.2,0.14,0.12,0.12,0.09,0.0,0.07,0.0,0.25,0.1,0.12,0.06,0.08,0.0,0.16,0.14,0.0,0.0,0.0,0.0,0.07,0.1,0.23,0.09,0.0,0.0,0.07,0.0,0.11,0.18,0.0,0.09,0.13,0.0,0.07,0.16,0.0,0.06,0.07,0.06,0.09,0.2,0.0,0.2,0.2,0.06,0.18,0.06,0.18,0.08,0.0,0.0,0.09
fettuccine fatte in casa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.32,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.08,0.0,0.0,0.0,0.0,0.08,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.11,0.16,0.0,0.0,0.0,0.0,0.0,0.0
finocchi in padella,0.06,0.0,0.0,0.1,0.1,0.08,0.04,0.1,0.06,0.07,0.22,0.23,0.05,0.0,0.06,0.1,0.04,0.08,0.08,0.0,0.0,0.06,0.06,0.0,0.0,0.08,0.08,0.14,0.0,0.04,0.0,0.06,0.06,0.06,0.0,0.08,0.14,0.12,0.12,0.0,0.08,0.06,0.08,0.16,0.04,0.08,0.08,0.0,0.0,0.06,0.0,0.05,0.06,0.0,0.06,0.05,0.18,0.0,1.0,0.12,0.12,0.14,0.08,0.14,0.12,0.0,0.1,0.0,0.18,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.14,0.0,0.17,0.05,0.0,0.1,0.16,0.0,0.0,0.0,0.0,0.08,0.08,0.2,0.0,0.0,0.0,0.05,0.05,0.12,0.0,0.0,0.0,0.05,0.08,0.0,0.06,0.12,0.08,0.06,0.12,0.07,0.0,0.1,0.0,0.08,0.1,0.0,0.0,0.1,0.0,0.14,0.1,0.06,0.14,0.15,0.14,0.18,0.18,0.0,0.15,0.17,0.08,0.12,0.1,0.06,0.08,0.04,0.06,0.0,0.1,0.0,0.18,0.08,0.08,0.1,0.12,0.06,0.17,0.1,0.0,0.0,0.06,0.06,0.1,0.08,0.12,0.06,0.0,0.0,0.1,0.15,0.12,0.06,0.0,0.14,0.05,0.0,0.05,0.12,0.04,0.05,0.0,0.1,0.14,0.14,0.0,0.22,0.15,0.05,0.2,0.1,0.18,0.06,0.0,0.0,0.06
focaccia bianca,0.07,0.0,0.11,0.06,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.14,0.12,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.07,0.14,0.19,0.0,0.08,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.1,0.26,0.07,0.0,0.0,0.0,0.07,0.0,0.14,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.16,0.0,0.12,1.0,0.28,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.16,0.19,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.14,0.0,0.11,0.12,0.2,0.0,0.08,0.1,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.1,0.06,0.1,0.0,0.0,0.14,0.24,0.0,0.14,0.08,0.06,0.0,0.0,0.0,0.04,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.23,0.16,0.1,0.12,0.07,0.0,0.0,0.19,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.14,0.0,0.06,0.0,0.08,0.07,0.14,0.0,0.0,0.0,0.0,0.0,0.1,0.14,0.0,0.11,0.0,0.06,0.0,0.15,0.0,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.1,0.1,0.12,0.08,0.06,0.0,0.16,0.0,0.0,0.08
focaccia patate e rosmarino,0.07,0.14,0.0,0.06,0.14,0.0,0.0,0.12,0.0,0.14,0.14,0.14,0.06,0.0,0.07,0.19,0.11,0.1,0.1,0.11,0.0,0.04,0.0,0.07,0.14,0.19,0.1,0.08,0.0,0.12,0.0,0.0,0.14,0.0,0.12,0.19,0.17,0.07,0.07,0.11,0.0,0.07,0.2,0.14,0.0,0.1,0.1,0.1,0.08,0.0,0.08,0.06,0.14,0.11,0.0,0.12,0.16,0.0,0.12,0.28,1.0,0.23,0.0,0.08,0.14,0.08,0.0,0.0,0.16,0.19,0.14,0.0,0.11,0.0,0.22,0.0,0.11,0.0,0.42,0.0,0.14,0.12,0.11,0.12,0.2,0.0,0.08,0.19,0.19,0.0,0.1,0.2,0.0,0.11,0.11,0.06,0.12,0.1,0.0,0.0,0.19,0.06,0.1,0.0,0.2,0.14,0.34,0.34,0.14,0.08,0.06,0.14,0.0,0.0,0.04,0.0,0.19,0.0,0.0,0.26,0.0,0.16,0.08,0.19,0.0,0.23,0.16,0.1,0.12,0.07,0.11,0.28,0.25,0.14,0.06,0.05,0.26,0.0,0.06,0.06,0.16,0.14,0.16,0.06,0.0,0.08,0.07,0.14,0.0,0.0,0.0,0.0,0.0,0.1,0.14,0.34,0.22,0.08,0.06,0.0,0.15,0.26,0.1,0.08,0.18,0.07,0.0,0.07,0.1,0.06,0.12,0.0,0.17,0.18,0.0,0.1,0.1,0.12,0.08,0.06,0.12,0.08,0.11,0.0,0.08
"focaccia, la ricetta classica per un risultato morbidissimo",0.12,0.0,0.0,0.1,0.16,0.0,0.0,0.0,0.0,0.0,0.22,0.23,0.05,0.0,0.0,0.0,0.0,0.08,0.15,0.0,0.0,0.0,0.0,0.06,0.1,0.22,0.0,0.06,0.0,0.0,0.0,0.06,0.1,0.06,0.1,0.08,0.2,0.06,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.12,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.0,0.24,0.0,0.14,0.0,0.23,1.0,0.0,0.0,0.17,0.06,0.06,0.0,0.18,0.2,0.0,0.0,0.0,0.0,0.08,0.0,0.18,0.0,0.0,0.0,0.17,0.0,0.08,0.14,0.22,0.08,0.12,0.08,0.08,0.0,0.08,0.27,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.08,0.05,0.08,0.0,0.0,0.17,0.2,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.24,0.18,0.08,0.15,0.12,0.0,0.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.15,0.0,0.05,0.0,0.06,0.06,0.1,0.05,0.0,0.0,0.0,0.0,0.12,0.23,0.0,0.08,0.0,0.1,0.0,0.12,0.0,0.08,0.14,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.2,0.0,0.0,0.08,0.08,0.1,0.06,0.1,0.0,0.12,0.0,0.0,0.14
fonduta di parmigiano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.14,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.08,0.0,0.0,0.0,1.0,0.13,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.1,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.09,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.14,0.14,0.0,0.13,0.0,0.08,0.0,0.0,0.0,0.0
frittata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.08,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.16,0.16,0.16,0.07,0.11,0.1,0.08,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.11,0.0,0.0,0.2,0.0,0.0,0.08,0.0,0.0,0.0,0.09,0.0,0.14,0.0,0.08,0.0,0.13,1.0,0.26,0.1,0.08,0.0,0.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.08,0.0,0.0,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.11,0.12,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.08,0.06,0.0,0.08,0.1,0.0,0.0,0.0,0.0,0.06,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.09,0.0,0.08,0.08,0.0,0.0,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.08,0.09,0.06,0.0,0.28,0.0,0.0,0.26,0.16,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.0,0.0,0.0,0.0,0.22,0.24,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.34,0.22,0.14,0.3,0.0,0.0,0.0,0.0,0.0,0.0
frittata di zucchine,0.07,0.0,0.0,0.06,0.06,0.11,0.0,0.06,0.0,0.04,0.14,0.14,0.0,0.0,0.0,0.06,0.06,0.1,0.1,0.0,0.0,0.08,0.08,0.07,0.0,0.1,0.0,0.08,0.0,0.0,0.0,0.06,0.14,0.06,0.06,0.1,0.17,0.07,0.07,0.0,0.0,0.0,0.05,0.14,0.06,0.05,0.0,0.0,0.0,0.08,0.0,0.06,0.07,0.0,0.0,0.12,0.16,0.14,0.12,0.14,0.14,0.17,0.11,0.26,1.0,0.08,0.0,0.0,0.16,0.12,0.14,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.17,0.0,0.14,0.06,0.0,0.12,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.24,0.0,0.0,0.0,0.12,0.18,0.15,0.0,0.0,0.0,0.06,0.0,0.0,0.06,0.14,0.1,0.08,0.14,0.04,0.0,0.06,0.0,0.11,0.14,0.14,0.0,0.0,0.12,0.17,0.0,0.16,0.08,0.1,0.0,0.16,0.16,0.0,0.12,0.14,0.11,0.14,0.19,0.14,0.11,0.16,0.08,0.0,0.06,0.0,0.16,0.19,0.11,0.24,0.0,0.0,0.14,0.14,0.0,0.0,0.0,0.0,0.0,0.1,0.22,0.08,0.0,0.0,0.06,0.1,0.2,0.08,0.0,0.08,0.12,0.0,0.06,0.14,0.05,0.0,0.06,0.12,0.08,0.18,0.0,0.19,0.19,0.18,0.17,0.06,0.12,0.08,0.0,0.0,0.17
frolla al burro di cocco,0.0,0.16,0.0,0.0,0.0,0.13,0.06,0.15,0.09,0.21,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.11,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.16,0.24,0.16,0.21,0.11,0.0,0.0,0.08,0.0,0.0,0.08,0.12,0.0,0.0,0.0,0.11,0.11,0.1,0.1,0.18,0.0,0.08,0.13,0.08,0.22,0.09,0.32,0.0,0.0,0.08,0.06,0.0,0.1,0.08,1.0,0.08,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,0.0,0.13,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.13,0.0,0.11,0.11,0.0,0.0,0.06,0.0,0.13,0.13,0.08,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.16,0.0,0.0,0.1,0.08,0.05,0.0,0.08,0.0,0.26,0.06,0.32,0.11,0.0,0.15,0.0,0.08,0.18,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.15,0.24,0.13,0.06,0.1,0.0,0.24,0.08,0.0,0.0,0.0,0.07,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.13,0.0,0.0,0.0,0.06,0.1,0.0,0.0,0.21,0.08,0.15,0.17,0.18,0.14,0.22,0.14,0.0,0.07,0.0,0.11,0.11,0.07,0.1,0.0,0.0,0.0,0.13,0.0,0.0
frollini salati alle erbe,0.0,0.0,0.0,0.31,0.06,0.1,0.09,0.12,0.14,0.12,0.06,0.0,0.0,0.0,0.06,0.12,0.05,0.0,0.09,0.0,0.0,0.11,0.08,0.0,0.0,0.0,0.18,0.0,0.06,0.06,0.0,0.12,0.06,0.12,0.06,0.0,0.0,0.0,0.2,0.0,0.09,0.06,0.1,0.06,0.06,0.05,0.09,0.0,0.0,0.16,0.07,0.0,0.0,0.0,0.18,0.06,0.07,0.12,0.1,0.0,0.0,0.06,0.0,0.08,0.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.26,0.0,0.06,0.0,0.0,0.0,0.06,0.08,0.06,0.06,0.0,0.2,0.04,0.12,0.0,0.06,0.0,0.0,0.18,0.0,0.08,0.18,0.08,0.0,0.0,0.0,0.0,0.06,0.1,0.0,0.06,0.06,0.1,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.06,0.2,0.08,0.06,0.0,0.0,0.08,0.22,0.33,0.22,0.0,0.06,0.0,0.0,0.0,0.0,0.09,0.04,0.16,0.0,0.0,0.06,0.0,0.12,0.14,0.1,0.17,0.06,0.22,0.16,0.06,0.0,0.09,0.0,0.0,0.08,0.06,0.0,0.0,0.0,0.0,0.0
"frosting al philadelphia, per dei cupcake perfetti",0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.1,0.1,0.0,0.09,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.16,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0
"funghi gratinati al forno, la ricetta per un contorno autunnale",0.08,0.0,0.0,0.07,0.07,0.0,0.0,0.07,0.0,0.05,0.22,0.23,0.07,0.0,0.0,0.07,0.06,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.18,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.1,0.18,0.16,0.08,0.0,0.0,0.0,0.06,0.14,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.0,0.0,0.07,0.16,0.0,0.18,0.16,0.16,0.18,0.0,0.09,0.16,0.0,0.0,0.0,1.0,0.2,0.22,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.18,0.0,0.31,0.06,0.0,0.13,0.22,0.0,0.0,0.0,0.0,0.0,0.1,0.21,0.0,0.0,0.0,0.07,0.06,0.16,0.0,0.0,0.0,0.06,0.0,0.0,0.07,0.16,0.1,0.09,0.16,0.0,0.0,0.07,0.0,0.0,0.1,0.0,0.0,0.06,0.0,0.18,0.0,0.08,0.09,0.1,0.09,0.25,0.25,0.0,0.2,0.16,0.12,0.16,0.14,0.07,0.06,0.17,0.09,0.0,0.0,0.0,0.16,0.1,0.12,0.06,0.0,0.0,0.08,0.14,0.0,0.0,0.0,0.0,0.07,0.1,0.16,0.09,0.0,0.0,0.14,0.1,0.11,0.09,0.0,0.28,0.06,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.09,0.2,0.0,0.1,0.1,0.06,0.09,0.06,0.18,0.08,0.0,0.0,0.09
funghi sott’olio,0.38,0.0,0.0,0.16,0.37,0.0,0.0,0.06,0.0,0.04,0.18,0.19,0.22,0.0,0.0,0.06,0.05,0.08,0.08,0.1,0.0,0.04,0.0,0.06,0.12,0.25,0.08,0.15,0.0,0.05,0.0,0.0,0.06,0.0,0.06,0.08,0.15,0.25,0.06,0.1,0.0,0.0,0.09,0.18,0.05,0.09,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.06,0.14,0.0,0.15,0.19,0.19,0.2,0.0,0.08,0.12,0.0,0.0,0.0,0.2,1.0,0.18,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.22,0.0,0.19,0.06,0.1,0.16,0.24,0.0,0.07,0.08,0.16,0.0,0.08,0.22,0.0,0.0,0.0,0.06,0.27,0.14,0.0,0.0,0.08,0.06,0.16,0.0,0.12,0.12,0.17,0.15,0.22,0.0,0.0,0.06,0.0,0.0,0.12,0.0,0.08,0.06,0.0,0.22,0.0,0.07,0.2,0.16,0.08,0.27,0.2,0.08,0.22,0.19,0.1,0.19,0.16,0.06,0.05,0.04,0.15,0.0,0.0,0.0,0.14,0.16,0.14,0.06,0.0,0.08,0.06,0.12,0.0,0.0,0.06,0.0,0.0,0.16,0.19,0.15,0.1,0.15,0.11,0.08,0.14,0.15,0.08,0.15,0.1,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.4,0.21,0.0,0.08,0.16,0.21,0.08,0.06,0.15,0.14,0.0,0.0,0.08
